Sample	Time	Voltage	Current	Resistance	Thickness	Mass/area
11	30.0	5.6793040	0.0080560	704.9781529294930	0.1000	0.131250
10	60.0	11.4490380	0.0080570	1421.0050887427100	0.6750	0.293750
9	90.0	137.9802800	0.0079900	17269.1214017522000	12.7000	1.325000
8	120.0	296.3367860	0.0079900	37088.4588235294000	19.9250	2.275000
7	150.0	299.9998160	0.0063750	47058.7946666667000	21.7000	2.825000
6	180.0	299.9998640	0.0049590	60496.0403307118000	34.1000	3.231250
5	210.0	300.0000760	0.0042650	70339.9943728019000	30.0000	3.700000
4	240.0	300.0025120	0.0032510	92280.0713626576000	35.6750	3.787500
3	270.0	300.0038680	0.0029450	101868.8855687610000	32.7250	4.118750
2	300.0	300.0043330	0.0026600	112783.5838345860000	34.1250	4.162500
