Sample	Time	Voltage	Current	Resistance	Thickness	Mass/area
11	10.0	13.0812160	0.0160560	814.7244643746890	0.1500	0.075000
10	20.0	30.6638200	0.0160430	1911.3519915227800	3.2000	0.562500
9	30.0	278.0180880	0.0161130	17254.2722025694000	11.1500	1.212500
8	40.0	281.5077160	0.0160160	17576.6555944056000	14.7750	1.550000
7	50.0	299.9921970	0.0123100	24369.7966693745000	13.9000	1.968750
6	60.0	299.9960220	0.0094720	31671.8773226351000	16.2250	2.006250
5	70.0	299.9974730	0.0083660	35859.1289744203000	21.0750	2.581250
4	80.0	299.9988150	0.0067950	44149.9359823400000	22.0750	2.706250
3	90.0	299.9998410	0.0062670	47869.7687888942000	26.2000	2.937500
2	100.0	300.0013070	0.0052570	57067.0167395853000	32.9250	3.081250
