Sample	Time	Voltage	Current	Resistance	Thickness	Mass/area
89	40	5	0.0090080	552.51554170	0.4500	0.0687500
88	64	8	0.0062830	1273.20802200	0.4250	0.0937500
87	80	10	0.0101680	984.22629820	2.0500	0.2312500
86	160	20	0.0027470	7281.83108800	6.7500	0.8312500
85	240	30	0.0016670	17941.02160000	7.2500	0.9187500
84	320	40	0.0013270	30145.76112000	11.3750	1.0875000
83	400	50	0.0012560	39819.04857000	10.9750	1.3500000
82	480	60	0.0010730	55756.16216000	10.2000	1.4062500
81	560	70	0.0009750	71570.17538000	14.3500	3.0000000
80	640	80	0.0009070	88202.86659000	17.7500	1.7437500
79	720	90	0.0009350	96279.64599000	15.1500	1.8562500
78	800	100	0.0010240	97681.85352000	24.4500	2.2562500
